State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Andhra Pradesh,EAST GODAVARI,Bajra,2001-02,Kharif,2219,Hectare,2048,Tonnes,0.9229382605
Andhra Pradesh,EAST GODAVARI,Bajra,2002-03,Kharif,1196,Hectare,1051,Tonnes,0.8787625418
Andhra Pradesh,EAST GODAVARI,Bajra,2003-04,Kharif,2698,Hectare,2301,Tonnes,0.8528539659
Andhra Pradesh,GUNTUR,Bajra,2001-02,Kharif,77,Hectare,76,Tonnes,0.987012987
Andhra Pradesh,GUNTUR,Bajra,2001-02,Rabi,43,Hectare,43,Tonnes,1
Andhra Pradesh,GUNTUR,Bajra,2002-03,Kharif,419,Hectare,356,Tonnes,0.8496420048
Andhra Pradesh,GUNTUR,Bajra,2002-03,Rabi,6,Hectare,5,Tonnes,0.8333333333
Andhra Pradesh,GUNTUR,Bajra,2003-04,Kharif,16082,Hectare,21839,Tonnes,1.357977863
Andhra Pradesh,GUNTUR,Bajra,2003-04,Rabi,197,Hectare,268,Tonnes,1.360406091
Andhra Pradesh,KADAPA,Bajra,2001-02,Kharif,1395,Hectare,2514,Tonnes,1.802150538
Andhra Pradesh,KADAPA,Bajra,2001-02,Rabi,1524,Hectare,2746,Tonnes,1.80183727
Andhra Pradesh,KADAPA,Bajra,2002-03,Kharif,2866,Hectare,2814,Tonnes,0.9818562456
Andhra Pradesh,KADAPA,Bajra,2002-03,Rabi,674,Hectare,661,Tonnes,0.9807121662
Andhra Pradesh,KADAPA,Bajra,2003-04,Kharif,4332,Hectare,3829,Tonnes,0.88388735
Andhra Pradesh,KADAPA,Bajra,2003-04,Rabi,992,Hectare,877,Tonnes,0.8840725806
Andhra Pradesh,KARIMNAGAR,Bajra,2001-02,Rabi,471,Hectare,220,Tonnes,0.4670912951
Andhra Pradesh,KARIMNAGAR,Bajra,2002-03,Rabi,330,Hectare,156,Tonnes,0.4727272727
Andhra Pradesh,KARIMNAGAR,Bajra,2003-04,Rabi,939,Hectare,574,Tonnes,0.6112886049
Andhra Pradesh,KHAMMAM,Bajra,2001-02,Kharif,124,Hectare,58,Tonnes,0.4677419355
Andhra Pradesh,KHAMMAM,Bajra,2001-02,Rabi,73,Hectare,34,Tonnes,0.4657534247
Andhra Pradesh,KHAMMAM,Bajra,2002-03,Kharif,292,Hectare,138,Tonnes,0.4726027397
Andhra Pradesh,KHAMMAM,Bajra,2002-03,Rabi,24,Hectare,11,Tonnes,0.4583333333
Andhra Pradesh,KHAMMAM,Bajra,2003-04,Kharif,675,Hectare,412,Tonnes,0.6103703704
Andhra Pradesh,KHAMMAM,Bajra,2003-04,Rabi,61,Hectare,37,Tonnes,0.606557377
Andhra Pradesh,KRISHNA,Bajra,2003-04,Kharif,10,Hectare,14,Tonnes,1.4
Andhra Pradesh,KURNOOL,Bajra,2001-02,Kharif,13932,Hectare,11062,Tonnes,0.7939994258
Andhra Pradesh,KURNOOL,Bajra,2001-02,Rabi,184,Hectare,146,Tonnes,0.7934782609
Andhra Pradesh,KURNOOL,Bajra,2002-03,Kharif,10352,Hectare,6863,Tonnes,0.6629636785
Andhra Pradesh,KURNOOL,Bajra,2002-03,Rabi,362,Hectare,240,Tonnes,0.6629834254
Andhra Pradesh,KURNOOL,Bajra,2003-04,Kharif,14793,Hectare,17707,Tonnes,1.196985061
Andhra Pradesh,KURNOOL,Bajra,2003-04,Rabi,236,Hectare,282,Tonnes,1.194915254
Andhra Pradesh,MAHBUBNAGAR,Bajra,2001-02,Kharif,17952,Hectare,8617,Tonnes,0.4800022282
Andhra Pradesh,MAHBUBNAGAR,Bajra,2001-02,Rabi,29,Hectare,14,Tonnes,0.4827586207
Andhra Pradesh,MAHBUBNAGAR,Bajra,2002-03,Kharif,11793,Hectare,6498,Tonnes,0.5510048334
Andhra Pradesh,MAHBUBNAGAR,Bajra,2002-03,Rabi,1,Hectare,1,Tonnes,1
Andhra Pradesh,MAHBUBNAGAR,Bajra,2003-04,Kharif,11501,Hectare,6671,Tonnes,0.5800365186
Andhra Pradesh,MAHBUBNAGAR,Bajra,2003-04,Rabi,48,Hectare,28,Tonnes,0.5833333333
Andhra Pradesh,MEDAK,Bajra,2001-02,Kharif,870,Hectare,406,Tonnes,0.4666666667
Andhra Pradesh,MEDAK,Bajra,2002-03,Kharif,588,Hectare,279,Tonnes,0.4744897959
Andhra Pradesh,MEDAK,Bajra,2003-04,Kharif,665,Hectare,406,Tonnes,0.6105263158
Andhra Pradesh,MEDAK,Bajra,2003-04,Rabi,9,Hectare,5,Tonnes,0.5555555556
Andhra Pradesh,NALGONDA,Bajra,2001-02,Kharif,9786,Hectare,4325,Tonnes,0.441957899
Andhra Pradesh,NALGONDA,Bajra,2001-02,Rabi,24,Hectare,11,Tonnes,0.4583333333
Andhra Pradesh,NALGONDA,Bajra,2002-03,Kharif,15097,Hectare,6235,Tonnes,0.4129959595
Andhra Pradesh,NALGONDA,Bajra,2003-04,Kharif,21433,Hectare,13438,Tonnes,0.6269770914
Andhra Pradesh,NALGONDA,Bajra,2003-04,Rabi,5,Hectare,3,Tonnes,0.6
Andhra Pradesh,NIZAMABAD,Bajra,2001-02,Rabi,5605,Hectare,2618,Tonnes,0.4670829616
Andhra Pradesh,NIZAMABAD,Bajra,2002-03,Rabi,4503,Hectare,2134,Tonnes,0.4739062847
Andhra Pradesh,NIZAMABAD,Bajra,2003-04,Rabi,4778,Hectare,2919,Tonnes,0.6109250733
Andhra Pradesh,PRAKASAM,Bajra,2001-02,Kharif,7969,Hectare,9786,Tonnes,1.228008533
Andhra Pradesh,PRAKASAM,Bajra,2001-02,Rabi,717,Hectare,880,Tonnes,1.227336123
Andhra Pradesh,PRAKASAM,Bajra,2002-03,Kharif,10062,Hectare,9378,Tonnes,0.9320214669
Andhra Pradesh,PRAKASAM,Bajra,2002-03,Rabi,198,Hectare,185,Tonnes,0.9343434343
Andhra Pradesh,PRAKASAM,Bajra,2003-04,Kharif,26565,Hectare,37324,Tonnes,1.405006588
Andhra Pradesh,PRAKASAM,Bajra,2003-04,Rabi,66,Hectare,93,Tonnes,1.409090909
Andhra Pradesh,RANGAREDDI,Bajra,2001-02,Kharif,706,Hectare,330,Tonnes,0.4674220963
Andhra Pradesh,RANGAREDDI,Bajra,2001-02,Rabi,34,Hectare,16,Tonnes,0.4705882353
Andhra Pradesh,RANGAREDDI,Bajra,2002-03,Kharif,691,Hectare,328,Tonnes,0.4746743849
Andhra Pradesh,RANGAREDDI,Bajra,2002-03,Rabi,1,Hectare,,Tonnes,0
Andhra Pradesh,RANGAREDDI,Bajra,2003-04,Kharif,969,Hectare,592,Tonnes,0.6109391125
Andhra Pradesh,RANGAREDDI,Bajra,2003-04,Rabi,1,Hectare,1,Tonnes,1
Andhra Pradesh,SPSR NELLORE,Bajra,2001-02,Kharif,917,Hectare,1357,Tonnes,1.479825518
Andhra Pradesh,SPSR NELLORE,Bajra,2001-02,Rabi,67,Hectare,99,Tonnes,1.47761194
Andhra Pradesh,SPSR NELLORE,Bajra,2002-03,Kharif,1326,Hectare,1671,Tonnes,1.260180995
Andhra Pradesh,SPSR NELLORE,Bajra,2002-03,Rabi,36,Hectare,45,Tonnes,1.25
Andhra Pradesh,SPSR NELLORE,Bajra,2003-04,Kharif,1216,Hectare,1982,Tonnes,1.629934211
Andhra Pradesh,SPSR NELLORE,Bajra,2003-04,Rabi,12,Hectare,20,Tonnes,1.666666667
Andhra Pradesh,SRIKAKULAM,Bajra,2001-02,Kharif,2910,Hectare,2927,Tonnes,1.005841924
Andhra Pradesh,SRIKAKULAM,Bajra,2002-03,Kharif,3476,Hectare,4508,Tonnes,1.29689298
Andhra Pradesh,SRIKAKULAM,Bajra,2003-04,Kharif,3654,Hectare,8634,Tonnes,2.362889984
Andhra Pradesh,VISAKHAPATANAM,Bajra,2001-02,Kharif,15686,Hectare,13019,Tonnes,0.8299757746
Andhra Pradesh,VISAKHAPATANAM,Bajra,2002-03,Kharif,14123,Hectare,8897,Tonnes,0.6299653048
Andhra Pradesh,VISAKHAPATANAM,Bajra,2002-03,Rabi,2,Hectare,,Tonnes,0
Andhra Pradesh,VISAKHAPATANAM,Bajra,2003-04,Kharif,17771,Hectare,20312,Tonnes,1.142985763
